model_id,model_display_name,tier,provider,mode,n,latency_mean,latency_std,latency_min,latency_max,syntax_valid_successes,syntax_valid_rate,syntax_valid_ci95_low,syntax_valid_ci95_high,kernel_shape_valid_successes,kernel_shape_valid_rate,kernel_shape_valid_ci95_low,kernel_shape_valid_ci95_high,correctness_proxy_successes,correctness_proxy_rate,correctness_proxy_ci95_low,correctness_proxy_ci95_high
frontier_anthropic,Claude Haiku 4.5 (Anthropic),frontier,anthropic,baseline,3,3.9930566666666665,0.500198247823134,3.436062,4.403902,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0
frontier_anthropic,Claude Haiku 4.5 (Anthropic),frontier,anthropic,constrained,3,1.687924,0.32595434053406924,1.453763,2.060196,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0
frontier_openai,GPT-4o (OpenAI),frontier,openai,baseline,3,2.863657,0.36055437291620795,2.510512,3.23119,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0
frontier_openai,GPT-4o (OpenAI),frontier,openai,constrained,3,1.6376083333333336,0.29997144976869605,1.430168,1.981556,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0
small_qwen25_coder_1_5b,Qwen2.5-Coder-1.5B (Ollama local),small,ollama,baseline,3,4.920880333333334,1.1045654684473587,4.162931,6.188224,3,1.0,0.43849391955098227,1.0,1,0.3333333333333333,0.0614903152761605,0.7923450448735121,0,0.0,0.0,0.5615060804490177
small_qwen25_coder_1_5b,Qwen2.5-Coder-1.5B (Ollama local),small,ollama,constrained,3,3.7020016666666664,0.09928824333894394,3.590867,3.781961,3,1.0,0.43849391955098227,1.0,3,1.0,0.43849391955098227,1.0,0,0.0,0.0,0.5615060804490177
